TP,site,N
2020,197,4
2021,197,2
2022,197,1
2000,198,3
2001,198,10
2002,198,12
2003,198,12
2004,198,12
2005,198,12
2006,198,12
2007,198,12
2008,198,11
2009,198,12
2010,198,12
2011,198,12
2012,198,12
2013,198,12
2014,198,12
2015,198,12
2016,198,12
2017,198,12
2018,198,12
2019,198,10
2020,198,6
2021,198,6
2022,198,3
2000,199,8
2001,199,3
2003,199,3
2004,199,3
2005,199,12
2006,199,4
2007,199,1
2008,199,4
2009,199,4
2010,199,3
2011,199,3
2012,199,6
2013,199,5
2014,199,2
2015,199,2
2016,199,2
2017,199,3
2018,199,7
2019,199,7
2020,199,6
2021,199,4
2022,199,1
2000,202,1
2001,202,1
2002,202,2
2003,202,3
2005,202,1
2006,202,2
2007,202,6
2008,202,10
2009,202,12
2010,202,11
2011,202,9
2012,202,3
2013,202,5
2014,202,4
2015,202,7
2016,202,7
2017,202,9
2018,202,8
2019,202,5
2020,202,9
2021,202,3
2022,202,4
2000,203,12
2001,203,12
2002,203,12
2003,203,12
2004,203,12
2005,203,12
2006,203,12
2007,203,12
2008,203,12
2009,203,12
2010,203,12
2011,203,11
2012,203,12
2013,203,12
2014,203,12
2015,203,11
2016,203,12
2017,203,12
2018,203,12
2019,203,12
2020,203,4
2021,203,6
2022,203,3
2000,204,2
2001,204,4
2002,204,5
2005,204,2
2006,204,6
2007,204,8
2008,204,9
2009,204,6
2010,204,8
2011,204,7
2012,204,7
2013,204,11
2014,204,7
2015,204,6
2016,204,10
2017,204,9
2018,204,11
2019,204,9
2020,204,8
2021,204,10
2022,204,7
2004,205,1
2008,205,2
2009,205,3
2010,205,1
2017,205,2
2000,206,1
2001,206,6
2003,206,12
2004,206,12
2006,206,2
2007,206,1
2008,206,2
2012,206,1
2013,206,1
2014,206,4
2015,206,1
2016,206,4
2017,206,1
2018,206,3
2019,206,6
2020,206,5
2021,206,7
2022,206,4
2000,207,12
2001,207,12
2002,207,12
2003,207,12
2004,207,12
2005,207,12
2006,207,12
2007,207,12
2008,207,12
2009,207,12
2010,207,12
2011,207,12
2012,207,9
2013,207,2
2014,207,2
2015,207,10
2016,207,11
2017,207,9
2018,207,12
2019,207,10
2020,207,6
2021,207,7
2022,207,1
2000,208,12
2001,208,12
2002,208,12
2003,208,12
2004,208,12
2005,208,12
2006,208,12
2007,208,12
2008,208,12
2009,208,12
2010,208,12
2011,208,12
2012,208,12
2013,208,12
2014,208,12
2015,208,12
2016,208,12
2017,208,11
2018,208,12
2019,208,12
2020,208,4
2021,208,7
2022,208,3
2000,209,10
2001,209,10
2002,209,12
2003,209,12
2004,209,12
2005,209,12
2006,209,10
2007,209,12
2008,209,12
2009,209,12
2010,209,12
2011,209,12
2012,209,10
2013,209,9
2014,209,10
2015,209,12
2016,209,11
2017,209,12
2018,209,12
2019,209,12
2020,209,9
2021,209,8
2022,209,6
2000,210,12
2001,210,12
2002,210,12
2003,210,12
2004,210,12
2005,210,11
2006,210,10
2007,210,10
2008,210,10
2009,210,12
2010,210,11
2011,210,11
2012,210,10
2013,210,12
2014,210,10
2015,210,12
2016,210,12
2017,210,7
2018,210,9
2019,210,8
2020,210,1
2021,210,1
2022,210,1
2000,211,3
2002,211,2
2005,211,1
2007,211,2
2008,211,2
2009,211,4
2010,211,12
2011,211,5
2012,211,2
2013,211,2
2014,211,1
2015,211,1
2016,211,3
2017,211,4
2018,211,5
2019,211,5
2020,211,3
2021,211,2
2022,211,2
2004,212,1
2007,212,1
2008,212,2
2009,212,3
2010,212,8
2011,212,8
2012,212,10
2013,212,5
2014,212,6
2015,212,7
2016,212,5
2017,212,3
2019,212,2
2020,212,5
2021,212,4
2022,212,4
2000,214,5
2001,214,4
2002,214,5
2003,214,2
2004,214,1
2005,214,4
2006,214,5
2007,214,6
2008,214,10
2009,214,10
2010,214,12
2011,214,8
2012,214,12
2013,214,9
2014,214,11
2015,214,11
2016,214,12
2017,214,11
2018,214,12
2019,214,12
2020,214,10
2021,214,12
2022,214,4
2000,215,12
2001,215,12
2002,215,12
2003,215,12
2004,215,12
2005,215,12
2006,215,12
2007,215,12
2008,215,12
2009,215,12
2010,215,12
2011,215,12
2012,215,12
2013,215,12
2014,215,12
2015,215,12
2016,215,12
2017,215,12
2018,215,12
2019,215,12
2020,215,11
2021,215,7
2022,215,9
2000,216,1
2001,216,4
2002,216,12
2003,216,12
2004,216,12
2005,216,12
2006,216,12
2007,216,12
2008,216,12
2009,216,12
